STD_ID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,MathScore,ReadingScore,WritingScore
1,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,87,93,91
2,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,76,78,75
3,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,73,84,79
4,female,group B,some college,standard,completed,widowed,never,no,1,private,85,93,89
5,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,41,43,39
6,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,65,64,68
7,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,40,52,43
8,female,group B,high school,standard,none,married,regularly,no,1,private,66,82,74
9,male,group A,some college,standard,completed,single,sometimes,yes,1,private,80,73,71
10,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,48,53,58
11,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,18,32,28
12,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,46,42,47
13,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,50,56,58
14,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,66,69,63
15,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,65,75,70
16,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,75,76,76
17,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,66,53,53
18,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,69,70,76
19,male,group C,high school,standard,none,married,sometimes,no,1,private,70,70,65
20,female,group D,some college,standard,none,single,sometimes,yes,0,private,66,72,72
21,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,56,73,66
22,female,group D,associate's degree,standard,none,married,regularly,no,2,private,76,82,85
23,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,51,64,60
24,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,77,91,90
25,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,58,56,58
26,male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,53,60,52
27,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,48,55,52
28,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,63,53,55
29,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,56,45,43
30,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,88,78,75
31,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,33,41,43
32,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,84,86,87
33,male,group D,associate's degree,standard,none,single,sometimes,no,2,private,52,55,49
34,female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,0,17,10
35,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,62,61,55
36,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,59,58,59
37,male,group B,some high school,standard,none,married,never,yes,1,private,63,62,58
38,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,45,37,37
39,female,group C,some college,standard,none,married,regularly,no,3,school_bus,61,73,75
40,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,39,64,57
41,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,64,55,64
42,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,42,51,49
43,male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,59,56,54
44,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,62,75,73
45,female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,60,68,68
46,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,49,50,52
47,male,group E,associate's degree,standard,none,married,regularly,yes,0,private,74,64,64
48,female,group C,some college,standard,none,divorced,sometimes,yes,0,private,73,80,82
49,female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,71,71,74
50,female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,57,69,67
51,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,45,46,52
52,female,group B,some college,standard,none,married,regularly,yes,4,private,81,87,94
53,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,63,65,61
54,female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,64,66,62
55,male,group B,some college,standard,none,married,sometimes,no,7,school_bus,79,67,67
56,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,68,74,74
57,female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,87,92,91
58,male,group B,high school,standard,completed,married,regularly,no,3,school_bus,61,44,48
59,female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,58,67,72
60,female,group D,master's degree,standard,none,married,sometimes,no,3,private,87,100,100
61,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,52,76,70
62,female,group B,some high school,standard,none,single,regularly,no,3,school_bus,72,64,73
63,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,79,90,99
64,male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,54,53,47
65,female,group D,some college,standard,none,married,never,yes,1,school_bus,47,56,51
66,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,98,99,100
67,male,group C,high school,standard,none,married,sometimes,yes,4,private,84,77,74
68,female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,72,83,79
69,female,group D,bachelor's degree,standard,none,married,never,no,2,private,75,80,77
70,female,group D,some high school,standard,none,single,regularly,yes,0,private,54,64,63
71,female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,55,69,65
72,female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,76,90,86
73,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,88,87,90
74,male,group E,some college,standard,none,single,regularly,no,3,school_bus,82,79,73
75,female,group B,high school,standard,none,single,never,yes,2,school_bus,86,94,85
76,male,group D,master's degree,standard,none,single,never,yes,2,private,77,81,72
77,male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,87,84,82
78,male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,52,36,40
79,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,76,80,76
80,male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,51,54,41
81,male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,67,54,54
82,male,group D,some college,standard,completed,married,sometimes,yes,0,private,73,61,70
83,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,76,72,71
84,female,group C,some college,free/reduced,none,married,regularly,no,2,private,60,62,65
85,male,group A,high school,standard,none,single,sometimes,no,1,school_bus,57,43,47
86,male,group D,some college,standard,none,divorced,sometimes,yes,3,private,90,74,79
87,female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,21,38,33
88,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,65,73,79
89,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,100,100,95
90,male,group A,some high school,standard,completed,married,sometimes,no,2,private,62,67,69
91,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,57,68,64
92,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,69,88,88
93,female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,67,75,79
94,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,70,63,66
95,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,82,78,74
96,female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,75,88,85
97,male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,48,53,52
98,male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,52,53,49
99,female,group E,master's degree,standard,none,married,never,yes,3,private,76,89,86
100,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,96,100,100
101,male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,53,51,51
102,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,62,79,83
103,female,group B,high school,standard,completed,married,regularly,yes,2,private,70,84,79
104,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,76,75,77
105,male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,91,86,76
106,female,group D,some college,standard,none,single,never,yes,3,school_bus,76,84,78
107,female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,63,67,70
108,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,41,50,52
109,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,81,92,89
110,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,44,53,56
111,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,54,72,65
112,female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,99,100,100
113,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,60,68,75
114,female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,46,64,66
115,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,61,65,62
116,male,group E,high school,standard,none,married,never,yes,1,school_bus,75,73,62
117,male,group D,some high school,standard,completed,married,sometimes,no,4,private,62,66,68
118,male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,47,51,45
119,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,74,86,85
120,female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,66,65,69
121,male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,73,81,77
122,male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,60,54,52
123,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,66,83,86
124,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,63,79,75
125,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,69,77,69
126,male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,84,62,63
127,male,group E,high school,standard,completed,married,regularly,no,2,school_bus,83,81,77
128,female,group B,some college,free/reduced,none,married,regularly,yes,1,private,73,80,76
129,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,77,77,77
130,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,42,62,60
131,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,61,51,57
132,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,80,84,86
133,male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,64,75,68
134,female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,57,69,75
135,male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,89,86,74
